Hdex ,Ndex ,Pokémon 
#001 ,#252 ,Treecko 
#002 ,#253 ,Grovyle 
#003 ,#254 ,Sceptile 
#004 ,#255 ,Torchic 
#005 ,#256 ,Combusken 
#006 ,#257 ,Blaziken 
#007 ,#258 ,Mudkip 
#008 ,#259 ,Marshtomp 
#009 ,#260 ,Swampert 
#010 ,#261 ,Poochyena 
#011 ,#262 ,Mightyena 
#012 ,#263 ,Zigzagoon 
#013 ,#264 ,Linoone 
#014 ,#265 ,Wurmple 
#015 ,#266 ,Silcoon 
#016 ,#267 ,Beautifly 
#017 ,#268 ,Cascoon 
#018 ,#269 ,Dustox 
#019 ,#270 ,Lotad 
#020 ,#271 ,Lombre 
#021 ,#272 ,Ludicolo 
#022 ,#273 ,Seedot 
#023 ,#274 ,Nuzleaf 
#024 ,#275 ,Shiftry 
#025 ,#276 ,Taillow 
#026 ,#277 ,Swellow 
#027 ,#278 ,Wingull 
#028 ,#279 ,Pelipper 
#029 ,#280 ,Ralts 
#030 ,#281 ,Kirlia 
#031 ,#282 ,Gardevoir 
#032 ,#283 ,Surskit 
#033 ,#284 ,Masquerain 
#034 ,#285 ,Shroomish 
#035 ,#286 ,Breloom 
#036 ,#287 ,Slakoth 
#037 ,#288 ,Vigoroth 
#038 ,#289 ,Slaking 
#039 ,#063 ,Abra 
#040 ,#064 ,Kadabra 
#041 ,#065 ,Alakazam 
#042 ,#290 ,Nincada 
#043 ,#291 ,Ninjask 
#044 ,#292 ,Shedinja 
#045 ,#293 ,Whismur 
#046 ,#294 ,Loudred 
#047 ,#295 ,Exploud 
#048 ,#296 ,Makuhita 
#049 ,#297 ,Hariyama 
#050 ,#118 ,Goldeen 
#051 ,#119 ,Seaking 
#052 ,#129 ,Magikarp 
#053 ,#130 ,Gyarados 
#054 ,#298 ,Azurill 
#055 ,#183 ,Marill 
#056 ,#184 ,Azumarill 
#057 ,#074 ,Geodude 
#058 ,#075 ,Graveler 
#059 ,#076 ,Golem 
#060 ,#299 ,Nosepass 
#061 ,#300 ,Skitty 
#062 ,#301 ,Delcatty 
#063 ,#041 ,Zubat 
#064 ,#042 ,Golbat 
#065 ,#169 ,Crobat 
#066 ,#072 ,Tentacool 
#067 ,#073 ,Tentacruel 
#068 ,#302 ,Sableye 
#069 ,#303 ,Mawile 
#070 ,#304 ,Aron 
#071 ,#305 ,Lairon 
#072 ,#306 ,Aggron 
#073 ,#066 ,Machop 
#074 ,#067 ,Machoke 
#075 ,#068 ,Machamp 
#076 ,#307 ,Meditite 
#077 ,#308 ,Medicham 
#078 ,#309 ,Electrike 
#079 ,#310 ,Manectric 
#080 ,#311 ,Plusle 
#081 ,#312 ,Minun 
#082 ,#081 ,Magnemite 
#083 ,#082 ,Magneton 
#084 ,#100 ,Voltorb 
#085 ,#101 ,Electrode 
#086 ,#313 ,Volbeat 
#087 ,#314 ,Illumise 
#088 ,#043 ,Oddish 
#089 ,#044 ,Gloom 
#090 ,#045 ,Vileplume 
#091 ,#182 ,Bellossom 
#092 ,#084 ,Doduo 
#093 ,#085 ,Dodrio 
#094 ,#315 ,Roselia 
#095 ,#316 ,Gulpin 
#096 ,#317 ,Swalot 
#097 ,#318 ,Carvanha 
#098 ,#319 ,Sharpedo 
#099 ,#320 ,Wailmer 
#100 ,#321 ,Wailord 
#101 ,#322 ,Numel 
#102 ,#323 ,Camerupt 
#103 ,#218 ,Slugma 
#104 ,#219 ,Magcargo 
#105 ,#324 ,Torkoal 
#106 ,#088 ,Grimer 
#107 ,#089 ,Muk 
#108 ,#109 ,Koffing 
#109 ,#110 ,Weezing 
#110 ,#325 ,Spoink 
#111 ,#326 ,Grumpig 
#112 ,#027 ,Sandshrew 
#113 ,#028 ,Sandslash 
#114 ,#327 ,Spinda 
#115 ,#227 ,Skarmory 
#116 ,#328 ,Trapinch 
#117 ,#329 ,Vibrava 
#118 ,#330 ,Flygon 
#119 ,#331 ,Cacnea 
#120 ,#332 ,Cacturne 
#121 ,#333 ,Swablu 
#122 ,#334 ,Altaria 
#123 ,#335 ,Zangoose 
#124 ,#336 ,Seviper 
#125 ,#337 ,Lunatone 
#126 ,#338 ,Solrock 
#127 ,#339 ,Barboach 
#128 ,#340 ,Whiscash 
#129 ,#341 ,Corphish 
#130 ,#342 ,Crawdaunt 
#131 ,#343 ,Baltoy 
#132 ,#344 ,Claydol 
#133 ,#345 ,Lileep 
#134 ,#346 ,Cradily 
#135 ,#347 ,Anorith 
#136 ,#348 ,Armaldo 
#137 ,#174 ,Igglybuff 
#138 ,#039 ,Jigglypuff 
#139 ,#040 ,Wigglytuff 
#140 ,#349 ,Feebas 
#141 ,#350 ,Milotic 
#142 ,#351 ,Castform 
#143 ,#120 ,Staryu 
#144 ,#121 ,Starmie 
#145 ,#352 ,Kecleon 
#146 ,#353 ,Shuppet 
#147 ,#354 ,Banette 
#148 ,#355 ,Duskull 
#149 ,#356 ,Dusclops 
#150 ,#357 ,Tropius 
#151 ,#358 ,Chimecho 
#152 ,#359 ,Absol 
#153 ,#037 ,Vulpix 
#154 ,#038 ,Ninetales 
#155 ,#172 ,Pichu 
#156 ,#025 ,Pikachu 
#157 ,#026 ,Raichu 
#158 ,#054 ,Psyduck 
#159 ,#055 ,Golduck 
#160 ,#360 ,Wynaut 
#161 ,#202 ,Wobbuffet 
#162 ,#177 ,Natu 
#163 ,#178 ,Xatu 
#164 ,#203 ,Girafarig 
#165 ,#231 ,Phanpy 
#166 ,#232 ,Donphan 
#167 ,#127 ,Pinsir 
#168 ,#214 ,Heracross 
#169 ,#111 ,Rhyhorn 
#170 ,#112 ,Rhydon 
#171 ,#361 ,Snorunt 
#172 ,#362 ,Glalie 
#173 ,#363 ,Spheal 
#174 ,#364 ,Sealeo 
#175 ,#365 ,Walrein 
#176 ,#366 ,Clamperl 
#177 ,#367 ,Huntail 
#178 ,#368 ,Gorebyss 
#179 ,#369 ,Relicanth 
#180 ,#222 ,Corsola 
#181 ,#170 ,Chinchou 
#182 ,#171 ,Lanturn 
#183 ,#370 ,Luvdisc 
#184 ,#116 ,Horsea 
#185 ,#117 ,Seadra 
#186 ,#230 ,Kingdra 
#187 ,#371 ,Bagon 
#188 ,#372 ,Shelgon 
#189 ,#373 ,Salamence 
#190 ,#374 ,Beldum 
#191 ,#375 ,Metang 
#192 ,#376 ,Metagross 
#193 ,#377 ,Regirock 
#194 ,#378 ,Regice 
#195 ,#379 ,Registeel 
#196 ,#380 ,Latias 
#197 ,#381 ,Latios 
#198 ,#382 ,Kyogre 
#199 ,#383 ,Groudon 
#200 ,#384 ,Rayquaza 
#201 ,#385 ,Jirachi 
#202 ,#386 ,Deoxys 
#202 ,#386 ,Deoxys 
#202 ,#386 ,Deoxys 
#202 ,#386 ,Deoxys 
