New ,Old ,Pokémon 
#001 ,#152 ,Chikorita 
#002 ,#153 ,Bayleef 
#003 ,#154 ,Meganium 
#004 ,#155 ,Cyndaquil 
#005 ,#156 ,Quilava 
#006 ,#157 ,Typhlosion 
#007 ,#158 ,Totodile 
#008 ,#159 ,Croconaw 
#009 ,#160 ,Feraligatr 
#010 ,#016 ,Pidgey 
#011 ,#017 ,Pidgeotto 
#012 ,#018 ,Pidgeot 
#013 ,#021 ,Spearow 
#014 ,#022 ,Fearow 
#015 ,#163 ,Hoothoot 
#016 ,#164 ,Noctowl 
#017 ,#019 ,Rattata 
#018 ,#020 ,Raticate 
#019 ,#161 ,Sentret 
#020 ,#162 ,Furret 
#021 ,#172 ,Pichu 
#022 ,#025 ,Pikachu 
#023 ,#026 ,Raichu 
#024 ,#010 ,Caterpie 
#025 ,#011 ,Metapod 
#026 ,#012 ,Butterfree 
#027 ,#013 ,Weedle 
#028 ,#014 ,Kakuna 
#029 ,#015 ,Beedrill 
#030 ,#165 ,Ledyba 
#031 ,#166 ,Ledian 
#032 ,#167 ,Spinarak 
#033 ,#168 ,Ariados 
#034 ,#074 ,Geodude 
#035 ,#075 ,Graveler 
#036 ,#076 ,Golem 
#037 ,#041 ,Zubat 
#038 ,#042 ,Golbat 
#039 ,#169 ,Crobat 
#040 ,#173 ,Cleffa 
#041 ,#035 ,Clefairy 
#042 ,#036 ,Clefable 
#043 ,#174 ,Igglybuff 
#044 ,#039 ,Jigglypuff 
#045 ,#040 ,Wigglytuff 
#046 ,#175 ,Togepi 
#047 ,#176 ,Togetic 
#048 ,#027 ,Sandshrew 
#049 ,#028 ,Sandslash 
#050 ,#023 ,Ekans 
#051 ,#024 ,Arbok 
#052 ,#206 ,Dunsparce 
#053 ,#179 ,Mareep 
#054 ,#180 ,Flaaffy 
#055 ,#181 ,Ampharos 
#056 ,#194 ,Wooper 
#057 ,#195 ,Quagsire 
#058 ,#092 ,Gastly 
#059 ,#093 ,Haunter 
#060 ,#094 ,Gengar 
#061 ,#201 ,Unown 
#062 ,#095 ,Onix 
#063 ,#208 ,Steelix 
