Udex ,Ndex ,Pokémon 
#000 ,#494 ,Victini 
#001 ,#495 ,Snivy 
#002 ,#496 ,Servine 
#003 ,#497 ,Serperior 
#004 ,#498 ,Tepig 
#005 ,#499 ,Pignite 
#006 ,#500 ,Emboar 
#007 ,#501 ,Oshawott 
#008 ,#502 ,Dewott 
#009 ,#503 ,Samurott 
#010 ,#504 ,Patrat 
#011 ,#505 ,Watchog 
#012 ,#506 ,Lillipup 
#013 ,#507 ,Herdier 
#014 ,#508 ,Stoutland 
#015 ,#509 ,Purrloin 
#016 ,#510 ,Liepard 
#017 ,#511 ,Pansage 
#018 ,#512 ,Simisage 
#019 ,#513 ,Pansear 
#020 ,#514 ,Simisear 
#021 ,#515 ,Panpour 
#022 ,#516 ,Simipour 
#023 ,#517 ,Munna 
#024 ,#518 ,Musharna 
#025 ,#519 ,Pidove 
#026 ,#520 ,Tranquill 
#027 ,#521 ,Unfezant 
#027 ,#521 ,Unfezant 
#028 ,#522 ,Blitzle 
#029 ,#523 ,Zebstrika 
#030 ,#524 ,Roggenrola 
#031 ,#525 ,Boldore 
#032 ,#526 ,Gigalith 
#033 ,#527 ,Woobat 
#034 ,#528 ,Swoobat 
#035 ,#529 ,Drilbur 
#036 ,#530 ,Excadrill 
#037 ,#531 ,Audino 
#038 ,#532 ,Timburr 
#039 ,#533 ,Gurdurr 
#040 ,#534 ,Conkeldurr 
#041 ,#535 ,Tympole 
#042 ,#536 ,Palpitoad 
#043 ,#537 ,Seismitoad 
#044 ,#538 ,Throh 
#045 ,#539 ,Sawk 
#046 ,#540 ,Sewaddle 
#047 ,#541 ,Swadloon 
#048 ,#542 ,Leavanny 
#049 ,#543 ,Venipede 
#050 ,#544 ,Whirlipede 
#051 ,#545 ,Scolipede 
#052 ,#546 ,Cottonee 
#053 ,#547 ,Whimsicott 
#054 ,#548 ,Petilil 
#055 ,#549 ,Lilligant 
#056 ,#550 ,Basculin 
#056 ,#550 ,Basculin 
#057 ,#551 ,Sandile 
#058 ,#552 ,Krokorok 
#059 ,#553 ,Krookodile 
#060 ,#554 ,Darumaka 
#061 ,#555 ,Darmanitan 
#062 ,#556 ,Maractus 
#063 ,#557 ,Dwebble 
#064 ,#558 ,Crustle 
#065 ,#559 ,Scraggy 
#066 ,#560 ,Scrafty 
#067 ,#561 ,Sigilyph 
#068 ,#562 ,Yamask 
#069 ,#563 ,Cofagrigus 
#070 ,#564 ,Tirtouga 
#071 ,#565 ,Carracosta 
#072 ,#566 ,Archen 
#073 ,#567 ,Archeops 
#074 ,#568 ,Trubbish 
#075 ,#569 ,Garbodor 
#076 ,#570 ,Zorua 
#077 ,#571 ,Zoroark 
#078 ,#572 ,Minccino 
#079 ,#573 ,Cinccino 
#080 ,#574 ,Gothita 
#081 ,#575 ,Gothorita 
#082 ,#576 ,Gothitelle 
#083 ,#577 ,Solosis 
#084 ,#578 ,Duosion 
#085 ,#579 ,Reuniclus 
#086 ,#580 ,Ducklett 
#087 ,#581 ,Swanna 
#088 ,#582 ,Vanillite 
#089 ,#583 ,Vanillish 
#090 ,#584 ,Vanilluxe 
#091 ,#585 ,Deerling 
#092 ,#586 ,Sawsbuck 
#093 ,#587 ,Emolga 
#094 ,#588 ,Karrablast 
#095 ,#589 ,Escavalier 
#096 ,#590 ,Foongus 
#097 ,#591 ,Amoonguss 
#098 ,#592 ,Frillish 
#098 ,#592 ,Frillish 
#099 ,#593 ,Jellicent 
#099 ,#593 ,Jellicent 
#100 ,#594 ,Alomomola 
#101 ,#595 ,Joltik 
#102 ,#596 ,Galvantula 
#103 ,#597 ,Ferroseed 
#104 ,#598 ,Ferrothorn 
#105 ,#599 ,Klink 
#106 ,#600 ,Klang 
#107 ,#601 ,Klinklang 
#108 ,#602 ,Tynamo 
#109 ,#603 ,Eelektrik 
#110 ,#604 ,Eelektross 
#111 ,#605 ,Elgyem 
#112 ,#606 ,Beheeyem 
#113 ,#607 ,Litwick 
#114 ,#608 ,Lampent 
#115 ,#609 ,Chandelure 
#116 ,#610 ,Axew 
#117 ,#611 ,Fraxure 
#118 ,#612 ,Haxorus 
#119 ,#613 ,Cubchoo 
#120 ,#614 ,Beartic 
#121 ,#615 ,Cryogonal 
#122 ,#616 ,Shelmet 
#123 ,#617 ,Accelgor 
#124 ,#618 ,Stunfisk 
#125 ,#619 ,Mienfoo 
#126 ,#620 ,Mienshao 
#127 ,#621 ,Druddigon 
#128 ,#622 ,Golett 
#129 ,#623 ,Golurk 
#130 ,#624 ,Pawniard 
#131 ,#625 ,Bisharp 
#132 ,#626 ,Bouffalant 
#133 ,#627 ,Rufflet 
#134 ,#628 ,Braviary 
#135 ,#629 ,Vullaby 
#136 ,#630 ,Mandibuzz 
#137 ,#631 ,Heatmor 
#138 ,#632 ,Durant 
#139 ,#633 ,Deino 
#140 ,#634 ,Zweilous 
#141 ,#635 ,Hydreigon 
#142 ,#636 ,Larvesta 
#143 ,#637 ,Volcarona 
#144 ,#638 ,Cobalion 
#145 ,#639 ,Terrakion 
#146 ,#640 ,Virizion 
#147 ,#641 ,Tornadus 
#148 ,#642 ,Thundurus 
#149 ,#643 ,Reshiram 
#150 ,#644 ,Zekrom 
#151 ,#645 ,Landorus 
#152 ,#646 ,Kyurem 
#153 ,#647 ,Keldeo 
#154 ,#648 ,Meloetta 
#154 ,#648 ,Meloetta 
#155 ,#649 ,Genesect 
